"Date","Conditional_Volatility"
2005-05-06,4.74600632369573e-05
2005-05-09,4.74606830869008e-05
2005-05-10,4.74613035209089e-05
2005-05-11,4.74619254392775e-05
2005-05-12,4.74625438825075e-05
2005-05-13,4.74631642586471e-05
2005-05-16,4.74637816823317e-05
2005-05-17,4.7464400616614e-05
2005-05-18,4.74650175566698e-05
2005-05-19,4.74656355025338e-05
2005-05-20,4.74662504990225e-05
2005-05-23,4.74668641762416e-05
2005-05-24,4.74674776761854e-05
2005-05-25,4.74680900885504e-05
2005-05-26,4.74687022075724e-05
2005-05-27,4.69488445866409e-05
2005-05-31,4.69546300956144e-05
2005-06-01,4.69604110384904e-05
2005-06-02,4.69661871318285e-05
2005-06-03,4.69719553556802e-05
2005-06-06,4.69777192398713e-05
2005-06-07,4.69834758809164e-05
2005-06-08,4.69892267541249e-05
2005-06-09,4.699497206492e-05
2005-06-10,4.70007121148163e-05
2005-06-13,4.70064459540335e-05
2005-06-14,4.70121739515402e-05
2005-06-15,4.70178962692158e-05
2005-06-16,4.7023612830055e-05
2005-06-17,4.70293239198042e-05
2005-06-20,4.70350296672404e-05
2005-06-21,4.70407289840545e-05
2005-06-22,4.70464227062527e-05
2005-06-23,4.70521106219717e-05
2005-06-24,4.70577964455132e-05
2005-06-27,4.34791890555299e-05
2005-06-28,4.34741443095473e-05
2005-06-29,4.34691066524528e-05
2005-06-30,4.34640719944398e-05
2005-07-01,4.34590437839136e-05
2005-07-05,4.34540192710793e-05
2005-07-06,4.34490016747331e-05
2005-07-07,4.34439888398148e-05
2005-07-08,4.34389793473416e-05
2005-07-11,4.34339783106917e-05
2005-07-12,4.34289798451793e-05
2005-07-13,4.34239854078666e-05
2005-07-14,4.34189958488696e-05
2005-07-15,4.3414011422337e-05
2005-07-18,4.34090318531669e-05
2005-07-19,4.34040580791098e-05
2005-07-20,4.33990894583948e-05
2005-07-21,4.33941254116118e-05
2005-07-22,4.33891668629827e-05
2005-07-25,4.3384212731795e-05
2005-07-26,4.08899247856854e-05
2005-07-27,4.08769714629677e-05
2005-07-28,4.08640662981823e-05
2005-07-29,4.08511881995849e-05
2005-08-01,4.08384059490174e-05
2005-08-02,4.08255019445753e-05
2005-08-03,4.08127077255401e-05
2005-08-04,4.07998293901786e-05
2005-08-05,4.07870889123529e-05
2005-08-08,4.07743828218121e-05
2005-08-09,4.07615620592413e-05
2005-08-10,4.07488121028834e-05
2005-08-11,4.07360071071378e-05
2005-08-12,4.07232895396208e-05
2005-08-15,4.07105821941135e-05
2005-08-16,4.06978149039187e-05
2005-08-17,4.06853539660135e-05
2005-08-18,4.06726033820747e-05
2005-08-19,4.06598680500983e-05
2005-08-22,4.06471431825717e-05
2005-08-23,3.84099839515362e-05
2005-08-24,3.84018673474506e-05
2005-08-25,3.83937602637076e-05
2005-08-26,3.83856592688669e-05
2005-08-29,3.83775681796373e-05
2005-08-30,3.83694840685245e-05
2005-08-31,3.83614080065484e-05
2005-09-01,3.83533418704316e-05
2005-09-02,3.83452812569974e-05
2005-09-06,3.83372292582639e-05
2005-09-07,3.83291893703532e-05
2005-09-08,3.83211530081924e-05
2005-09-09,3.83131252971406e-05
2005-09-12,3.83051066961807e-05
2005-09-13,3.82970943814547e-05
2005-09-14,3.82890923968062e-05
2005-09-15,3.8281096650426e-05
2005-09-16,3.82731082951394e-05
2005-09-19,3.82651297859731e-05
2005-09-20,3.82571588085853e-05
2005-09-21,3.61531360600715e-05
2005-09-22,3.61348819591069e-05
2005-09-23,3.6116635960346e-05
2005-09-26,3.60984076747529e-05
2005-09-27,3.6080197661727e-05
2005-09-28,3.60620059165248e-05
2005-09-29,3.6043832229139e-05
2005-09-30,3.60256829323172e-05
2005-10-03,3.60075455700401e-05
2005-10-04,3.59894270065281e-05
2005-10-05,3.59713384455071e-05
2005-10-06,3.59532835638721e-05
2005-10-07,3.59352224963425e-05
2005-10-10,3.59171758554876e-05
2005-10-11,3.58991559656407e-05
2005-10-12,3.58811471935832e-05
2005-10-13,3.5863162059149e-05
2005-10-14,3.58451884713822e-05
2005-10-17,3.58272347990861e-05
2005-10-18,3.58092959370277e-05
2005-10-19,3.85783041888974e-05
2005-10-20,3.85874138637095e-05
2005-10-21,3.85984453491895e-05
2005-10-24,3.85854591750558e-05
2005-10-25,3.86009130463399e-05
2005-10-26,3.8588263114525e-05
2005-10-27,3.85771823024898e-05
2005-10-28,3.85766864763408e-05
2005-10-31,3.85904051645954e-05
2005-11-01,3.85831496161694e-05
2005-11-02,3.85712099816223e-05
2005-11-03,3.85687948925078e-05
2005-11-04,3.8558047168475e-05
2005-11-07,3.8545083233145e-05
2005-11-08,3.8532696288374e-05
2005-11-09,3.85209994674709e-05
2005-11-10,3.85083414622264e-05
2005-11-11,3.85028809643421e-05
2005-11-14,3.84911528967106e-05
2005-11-15,3.84783568889978e-05
2005-11-16,3.77677178965768e-05
2005-11-17,3.62549929479191e-05
2005-11-18,3.96588646351444e-05
2005-11-21,3.91822300102559e-05
2005-11-22,3.93391607835332e-05
2005-11-23,3.94079863090157e-05
2005-11-25,3.85619057971897e-05
2005-11-28,3.72507198715364e-05
2005-11-29,3.93249782726352e-05
2005-11-30,3.74557335292572e-05
2005-12-01,3.85250912780492e-05
2005-12-02,4.36554387027666e-05
2005-12-05,4.10515580117111e-05
2005-12-06,3.91183063529552e-05
2005-12-07,3.73260059481934e-05
2005-12-08,3.72525025787791e-05
2005-12-09,3.59178777083854e-05
2005-12-12,3.48904618180285e-05
2005-12-13,3.37936952290787e-05
2005-12-14,3.45091615613544e-05
2005-12-15,3.22949195245351e-05
2005-12-16,3.10048499405783e-05
2005-12-19,3.06065107325871e-05
2005-12-20,3.27965797826308e-05
2005-12-21,3.13586457516971e-05
2005-12-22,3.04503198543917e-05
2005-12-23,3.06880573392729e-05
2005-12-27,2.96404615309177e-05
2005-12-28,3.66101488625422e-05
2005-12-29,3.42634736154607e-05
2005-12-30,3.34512379371371e-05
2006-01-03,3.43336207399656e-05
2006-01-04,5.20720173906624e-05
2006-01-05,4.77224579390816e-05
2006-01-06,4.29322577794688e-05
2006-01-09,4.64980265789201e-05
2006-01-10,4.34065763255188e-05
2006-01-11,3.95522572266561e-05
2006-01-12,3.75789910066945e-05
2006-01-13,3.81263152400568e-05
2006-01-17,3.50276829810506e-05
2006-01-18,3.42405347743545e-05
2006-01-19,3.40230658928321e-05
2006-01-20,3.3936558117183e-05
2006-01-23,6.14439972100861e-05
2006-01-24,5.36355900081123e-05
2006-01-25,4.76191765780459e-05
2006-01-26,4.33763601280562e-05
2006-01-27,4.27141341702203e-05
2006-01-30,4.34783567404104e-05
2006-01-31,3.97010754520907e-05
2006-02-01,3.78613178610868e-05
2006-02-02,3.53403093001999e-05
2006-02-03,4.04199862004764e-05
2006-02-06,4.0486998753478e-05
2006-02-07,3.72329265591517e-05
2006-02-08,4.15132636087455e-05
2006-02-09,4.2256732115933e-05
2006-02-10,3.89561258066704e-05
2006-02-13,3.62988877430065e-05
2006-02-14,3.74727159424145e-05
2006-02-15,3.74637990059692e-05
2006-02-16,3.74478225610813e-05
2006-02-17,3.74358142334096e-05
2006-02-21,3.74178718495239e-05
2006-02-22,3.74012602718617e-05
2006-02-23,3.73881269459649e-05
2006-02-24,3.737117314143e-05
2006-02-27,3.73532493373551e-05
2006-02-28,3.73365934729736e-05
2006-03-01,3.73296829801924e-05
2006-03-02,3.73164746078657e-05
2006-03-03,3.72986690138644e-05
2006-03-06,3.72811532192562e-05
2006-03-07,3.72691098911838e-05
2006-03-08,3.72522161994969e-05
2006-03-09,3.72346134595898e-05
2006-03-10,3.72193451865173e-05
2006-03-13,3.72057831691131e-05
2006-03-14,3.71887808334369e-05
2006-03-15,3.61333252183835e-05
2006-03-16,3.61167347086031e-05
2006-03-17,3.60965196316116e-05
2006-03-20,3.60759778231919e-05
2006-03-21,3.60556584294931e-05
2006-03-22,3.60414809909671e-05
2006-03-23,3.60242862738669e-05
2006-03-24,3.60042651297554e-05
2006-03-27,3.59835720858041e-05
2006-03-28,3.59631315665723e-05
2006-03-29,3.594979543896e-05
2006-03-30,3.59350639358369e-05
2006-03-31,3.59147585472951e-05
2006-04-03,3.58975513401997e-05
2006-04-04,3.58772707636377e-05
2006-04-05,3.5862524024354e-05
2006-04-06,3.58455245320422e-05
2006-04-07,3.58254489984135e-05
2006-04-10,3.58232854379628e-05
2006-04-11,3.58029451667426e-05
2006-04-12,3.73785968818372e-05
2006-04-13,3.48848262700729e-05
2006-04-17,3.28667376988098e-05
2006-04-18,3.19366687746987e-05
2006-04-19,4.8110961452629e-05
2006-04-20,4.45177318976889e-05
2006-04-21,4.07648151399609e-05
2006-04-24,3.76566980526243e-05
2006-04-25,3.56686246681845e-05
2006-04-26,3.56158055924853e-05
2006-04-27,3.36663904511559e-05
2006-04-28,3.25525811023773e-05
2006-05-01,3.09757451142621e-05
2006-05-02,3.10355772668172e-05
2006-05-03,3.15419534296026e-05
2006-05-04,3.09932416272973e-05
2006-05-05,3.00192021550556e-05
2006-05-08,3.59182128574557e-05
2006-05-09,3.36926427617734e-05
2006-05-10,3.18803011231811e-05
2006-05-11,3.06743690877997e-05
2006-05-12,3.0666349246208e-05
2006-05-15,3.06580485905881e-05
2006-05-16,3.06468741502026e-05
2006-05-17,3.06359235175604e-05
2006-05-18,3.06316463895437e-05
2006-05-19,3.06223432393044e-05
2006-05-22,3.06111988088633e-05
2006-05-23,3.06010693385748e-05
2006-05-24,3.05911762927705e-05
2006-05-25,3.05801629715235e-05
2006-05-26,3.05701614108941e-05
2006-05-30,3.05592057408669e-05
2006-05-31,3.05549555257813e-05
2006-06-01,3.05442280082558e-05
2006-06-02,3.05347400835088e-05
2006-06-05,3.05236818029509e-05
2006-06-06,3.05207297247994e-05
2006-06-07,3.05101342847239e-05
2006-06-08,3.05010235934067e-05
2006-06-09,4.06313665781975e-05
2006-06-12,4.06413194070811e-05
2006-06-13,4.06601232592542e-05
2006-06-14,4.06788182814875e-05
2006-06-15,4.06864284183467e-05
2006-06-16,4.07106844852272e-05
2006-06-19,4.07201190412209e-05
2006-06-20,4.07350619563047e-05
2006-06-21,4.07430295370436e-05
2006-06-22,4.0752836878463e-05
2006-06-23,4.07636307416876e-05
2006-06-26,4.07718217532001e-05
2006-06-27,4.07794230951346e-05
2006-06-28,4.07944598964259e-05
2006-06-29,4.08021118276209e-05
2006-06-30,4.08279750437033e-05
2006-07-03,4.08361216535122e-05
2006-07-05,4.08454000875151e-05
2006-07-06,4.08568760892327e-05
2006-07-07,4.08642094395077e-05
2006-07-10,5.98235875560701e-05
2006-07-11,5.64404285606878e-05
2006-07-12,5.35282417964026e-05
2006-07-13,5.80000754811618e-05
2006-07-14,6.53989345044642e-05
2006-07-17,6.42839498066945e-05
2006-07-18,6.143596811245e-05
2006-07-19,5.79783262733406e-05
2006-07-20,6.49341578600927e-05
2006-07-21,6.64025398085669e-05
2006-07-24,6.6808596673225e-05
2006-07-25,7.06447239630215e-05
2006-07-26,6.69107176022398e-05
2006-07-27,6.31441282592675e-05
2006-07-28,6.12105123130533e-05
2006-07-31,6.18551959226846e-05
2006-08-01,5.87643224779823e-05
2006-08-02,5.73180285169894e-05
2006-08-03,5.45301951149603e-05
2006-08-04,5.16229313044649e-05
2006-08-07,5.26730205084971e-05
2006-08-08,5.06698550162167e-05
2006-08-09,4.9000043741812e-05
2006-08-10,4.78344312494643e-05
2006-08-11,4.66449016388819e-05
2006-08-14,4.55366796713171e-05
2006-08-15,4.38745738505756e-05
2006-08-16,4.91157835786201e-05
2006-08-17,4.97254762179823e-05
2006-08-18,4.79594303016481e-05
2006-08-21,4.69030451556798e-05
2006-08-22,4.53927605875365e-05
2006-08-23,4.38214717120719e-05
2006-08-24,4.2863742880073e-05
2006-08-25,4.16415073293508e-05
2006-08-28,4.02671944768266e-05
2006-08-29,4.00871347233825e-05
2006-08-30,3.90410771675274e-05
2006-08-31,3.79270539698429e-05
2006-09-01,3.68525929837795e-05
2006-09-05,3.07888108254679e-05
2006-09-06,2.99088672738019e-05
2006-09-07,3.53261458253057e-05
2006-09-08,3.58030568060437e-05
2006-09-11,3.46083198842569e-05
2006-09-12,3.32340797852631e-05
2006-09-13,3.6785939748039e-05
2006-09-14,3.57197615524415e-05
2006-09-15,3.43764206561703e-05
2006-09-18,3.32381162251904e-05
2006-09-19,3.20307461365657e-05
2006-09-20,3.14716651052999e-05
2006-09-21,3.19664528928335e-05
2006-09-22,3.27120113658739e-05
2006-09-25,3.20554998099085e-05
2006-09-26,3.46823474873798e-05
2006-09-27,3.62511760481037e-05
2006-09-28,3.46618612296985e-05
2006-09-29,3.34406696557812e-05
2006-10-02,3.24321980398592e-05
2006-10-03,2.99297301615929e-05
2006-10-04,2.89905337651309e-05
2006-10-05,3.56243870564073e-05
2006-10-06,3.43528838961806e-05
2006-10-09,3.30444700154644e-05
2006-10-10,3.16694297925144e-05
2006-10-11,3.0645611556738e-05
2006-10-12,2.97722496454724e-05
2006-10-13,3.35674794640328e-05
2006-10-16,3.24360295196632e-05
2006-10-17,3.15648487978885e-05
2006-10-18,3.08337919740294e-05
2006-10-19,2.97376686584307e-05
2006-10-20,2.86946151107677e-05
2006-10-23,2.77957170786973e-05
2006-10-24,2.9019387010762e-05
2006-10-25,2.80214142284897e-05
2006-10-26,2.78931769846683e-05
2006-10-27,2.85704348384181e-05
2006-10-30,3.10327188506827e-05
2006-10-31,2.70916283012741e-05
2006-11-01,2.62063728965423e-05
2006-11-02,2.87173079544026e-05
2006-11-03,2.78163912936181e-05
2006-11-06,2.7488213954586e-05
2006-11-07,3.11563403114373e-05
2006-11-08,2.99982327585137e-05
2006-11-09,2.89325191117107e-05
2006-11-10,2.9538130154555e-05
2006-11-13,2.84387597461206e-05
2006-11-14,2.75316550148807e-05
2006-11-15,2.80887980990729e-05
2006-11-16,2.72817326490932e-05
2006-11-17,2.65294774379028e-05
2006-11-20,2.56822371041007e-05
2006-11-21,2.4920103144745e-05
2006-11-22,2.4247207200756e-05
2006-11-24,2.37331219798599e-05
2006-11-27,2.39319982421541e-05
2006-11-28,3.3519767223952e-05
2006-11-29,3.18391367243141e-05
2006-11-30,3.34130612889552e-05
2006-12-01,3.20735171518731e-05
2006-12-04,3.12951729701268e-05
2006-12-05,3.31258710607448e-05
2006-12-06,3.25729442487836e-05
2006-12-07,3.13334285326203e-05
2006-12-08,3.08568698918762e-05
2006-12-11,2.97958414108372e-05
2006-12-12,2.89050108344231e-05
2006-12-13,2.79945851908089e-05
2006-12-14,2.71091766263924e-05
2006-12-15,2.93962159540493e-05
2006-12-18,2.84782875591345e-05
2006-12-19,2.79156080760694e-05
2006-12-20,2.7191587394213e-05
2006-12-21,2.64464671508841e-05
2006-12-22,2.63960666025446e-05
2006-12-26,2.73235334034366e-05
2006-12-27,2.68797051946606e-05
2006-12-28,2.59409601685445e-05
2006-12-29,2.53205772261341e-05
2007-01-03,2.55568115807207e-05
2007-01-04,2.48770481439682e-05
2007-01-05,2.41432166880006e-05
2007-01-08,2.53040153572226e-05
2007-01-09,2.47012593286648e-05
2007-01-10,2.40850532849645e-05
2007-01-11,2.35212615891452e-05
2007-01-12,2.39372449880551e-05
2007-01-16,2.39632992803823e-05
2007-01-17,2.32795008350621e-05
2007-01-18,2.27097383067523e-05
2007-01-19,2.26690813146949e-05
2007-01-22,2.2334852858789e-05
2007-01-23,2.3411263106686e-05
2007-01-24,2.33052948621806e-05
2007-01-25,2.46174977510367e-05
2007-01-26,2.95897157178575e-05
2007-01-29,2.85856695943894e-05
2007-01-30,2.70411224478854e-05
2007-01-31,2.67077799929902e-05
2007-02-01,2.72244845147883e-05
2007-02-02,2.73912218281752e-05
2007-02-05,2.63056440188091e-05
2007-02-06,2.51199781460774e-05
2007-02-07,2.40280512279759e-05
2007-02-08,2.30894067454236e-05
2007-02-09,2.22317222957882e-05
2007-02-12,2.44320093978224e-05
2007-02-13,2.45308109437881e-05
2007-02-14,2.53467048687914e-05
2007-02-15,2.6780908240416e-05
2007-02-16,2.55954801287697e-05
2007-02-20,2.44833053557098e-05
2007-02-21,2.37801069494041e-05
2007-02-22,2.28940293161404e-05
2007-02-23,2.20462263559518e-05
2007-02-26,2.21358259442942e-05
2007-02-27,2.15680614438839e-05
2007-02-28,6.87651011898382e-05
2007-03-01,6.78677046588968e-05
2007-03-02,6.58363749632596e-05
2007-03-05,6.54615056635617e-05
2007-03-06,6.55099465489361e-05
2007-03-07,7.00122064281772e-05
2007-03-08,6.75521414401433e-05
2007-03-09,6.65559493684656e-05
2007-03-12,6.36440974155233e-05
2007-03-13,6.12188129769255e-05
2007-03-14,7.2450761058196e-05
2007-03-15,7.1378128534005e-05
2007-03-16,6.80285109140262e-05
2007-03-19,6.51555815160436e-05
2007-03-20,6.50446992674212e-05
2007-03-21,6.29004957283284e-05
2007-03-22,6.77807991724748e-05
2007-03-23,6.4860747420004e-05
2007-03-26,6.20883071877407e-05
2007-03-27,5.94329450785201e-05
2007-03-28,6.19250941660573e-05
2007-03-29,6.13369438777434e-05
2007-03-30,5.90663998215887e-05
2007-04-02,5.66643707606214e-05
2007-04-03,5.45063279585941e-05
2007-04-04,5.46438383021343e-05
2007-04-05,5.24155108594472e-05
2007-04-09,5.06333379469302e-05
2007-04-10,4.87251515106408e-05
2007-04-11,4.71506169334438e-05
2007-04-12,4.73991363794085e-05
2007-04-13,4.72087346796227e-05
2007-04-16,4.57055355356618e-05
2007-04-17,4.78942078167515e-05
2007-04-18,4.62106735691017e-05
2007-04-19,4.46648195228443e-05
2007-04-20,4.33604866243615e-05
2007-04-23,4.48342889055845e-05
2007-04-24,4.38757390814718e-05
2007-04-25,4.24998822372142e-05
2007-04-26,4.16832018405907e-05
2007-04-27,4.04774862435453e-05
2007-04-30,3.92133269538077e-05
2007-05-01,4.08665164902544e-05
2007-05-02,3.98721799607321e-05
2007-05-03,3.96410895942447e-05
2007-05-04,3.88914352260276e-05
2007-05-07,3.78338632152259e-05
2007-05-08,3.69496029585857e-05
2007-05-09,3.61651036410499e-05
2007-05-10,3.56025256137251e-05
2007-05-11,4.32035391702327e-05
2007-05-14,4.57668087169731e-05
2007-05-15,4.4619271603871e-05
2007-05-16,4.29875207021568e-05
2007-05-17,4.35983942133351e-05
2007-05-18,4.22040372949331e-05
2007-05-21,4.22716746849577e-05
2007-05-22,4.08346803728136e-05
2007-05-23,3.95696547779826e-05
2007-05-24,3.44060591100179e-05
2007-05-25,3.73919882491401e-05
2007-05-29,3.66854103355901e-05
2007-05-30,3.55763192265704e-05
2007-05-31,3.62791909341568e-05
2007-06-01,3.52055623152131e-05
2007-06-04,3.46317686300396e-05
2007-06-05,3.38234017083627e-05
2007-06-06,3.409733119256e-05
2007-06-07,3.67148848694121e-05
2007-06-08,4.95136593404503e-05
2007-06-11,4.91437584720017e-05
2007-06-12,4.68369562848502e-05
2007-06-13,5.060546901467e-05
2007-06-14,5.31970296723529e-05
2007-06-15,5.08519227776769e-05
2007-06-18,4.945771455606e-05
2007-06-19,4.71348083905426e-05
2007-06-20,4.50167982152717e-05
2007-06-21,5.03150074940332e-05
2007-06-22,4.11201188535616e-05
2007-06-25,4.11632133237601e-05
2007-06-26,4.11629784443042e-05
2007-06-27,4.11634228772651e-05
2007-06-28,4.11645069548294e-05
2007-06-29,4.11576551160412e-05
2007-07-02,4.11525520260728e-05
2007-07-03,4.11625968330012e-05
2007-07-05,4.11557868646899e-05
2007-07-06,4.11475949794026e-05
2007-07-09,4.1140778848094e-05
2007-07-10,4.11325797491118e-05
2007-07-11,4.11806519959092e-05
2007-07-12,4.1175738689456e-05
2007-07-13,4.12431608539642e-05
2007-07-16,4.12371748726441e-05
2007-07-17,4.12293471637728e-05
2007-07-18,4.12208374200319e-05
2007-07-19,4.12136789296907e-05
2007-07-20,4.120907033689e-05
2007-07-23,4.620608447141e-05
2007-07-24,4.6226706236563e-05
2007-07-25,4.62556583382861e-05
2007-07-26,4.62760791342823e-05
2007-07-27,4.63093871558677e-05
2007-07-30,4.63379422126265e-05
2007-07-31,4.63586177840839e-05
2007-08-01,4.63842225803404e-05
2007-08-02,4.64045785396793e-05
2007-08-03,4.64248188210659e-05
2007-08-06,4.64618359471845e-05
2007-08-07,4.64886130507391e-05
2007-08-08,4.65090507886945e-05
2007-08-09,4.65321646291672e-05
2007-08-10,4.65695538860432e-05
2007-08-13,4.65897728382319e-05
2007-08-14,4.66100339011792e-05
2007-08-15,4.66384971169522e-05
2007-08-16,4.66649105693623e-05
2007-08-17,4.66849490815069e-05
2007-08-20,0.00018706002964162
2007-08-21,0.000169736201423444
2007-08-22,0.000154185791169392
2007-08-23,0.000148729054451534
2007-08-24,0.000135433984562336
2007-08-27,0.000132644456483968
2007-08-28,0.000125332477451888
2007-08-29,0.000155871030907671
2007-08-30,0.000167426956911638
2007-08-31,0.000153603420199074
2007-09-04,0.000147199087913987
2007-09-05,0.000141807343724437
2007-09-06,0.000137468169801978
2007-09-07,0.000126232318376982
2007-09-10,0.00013674155937076
2007-09-11,0.000125433073122775
2007-09-12,0.000124098168668222
2007-09-13,0.000113369814891457
2007-09-14,0.000108007359849898
2007-09-17,9.89619683835113e-05
2007-09-18,8.3325751652722e-05
2007-09-19,0.00013340135845337
2007-09-20,0.000125446414791138
2007-09-21,0.000114869083161237
2007-09-24,0.000106202641978349
2007-09-25,9.78567568965186e-05
2007-09-26,8.91450029249091e-05
2007-09-27,8.33413056217059e-05
2007-09-28,7.7536849530044e-05
2007-10-01,7.18189557357968e-05
2007-10-02,7.82911364603441e-05
2007-10-03,7.1966406599345e-05
2007-10-04,6.75780552360811e-05
2007-10-05,6.27450651042245e-05
2007-10-08,6.45026056869117e-05
2007-10-09,6.03092919035803e-05
2007-10-10,6.07434363222128e-05
2007-10-11,5.66017918939761e-05
2007-10-12,5.4780395051475e-05
2007-10-15,5.24248572590182e-05
2007-10-16,5.6130195293952e-05
2007-10-17,5.72517622227651e-05
2007-10-18,5.37536233062153e-05
2007-10-19,5.10574355247385e-05
2007-10-22,0.000101168063541257
2007-10-23,9.23289884788536e-05
2007-10-24,8.69214847434139e-05
2007-10-25,8.0947007919633e-05
2007-10-26,7.50639522968684e-05
2007-10-29,7.95820500773433e-05
2007-10-30,7.42912899988423e-05
2007-10-31,7.15768800499706e-05
2007-11-01,7.49359841403996e-05
2007-11-02,0.000118194241505571
2007-11-05,0.000107541218628891
2007-11-06,0.000101564513466918
2007-11-07,9.90122116308911e-05
2007-11-08,0.000156397207502905
2007-11-09,0.000142296060211032
2007-11-12,0.00015047558966719
2007-11-13,0.000145210085981775
2007-11-14,0.000180864445436045
2007-11-15,0.000167085826706209
2007-11-16,0.000166872500884055
2007-11-19,0.000154074420097276
2007-11-20,0.000161716868524058
2007-11-21,0.000149040107188637
2007-11-23,0.000154070048214114
2007-11-26,0.00015535847103615
2007-11-27,0.000174347076745354
2007-11-28,0.00016899390154011
2007-11-29,0.000211380894930187
2007-11-30,0.000194411226312099
2007-12-03,0.000182076998302554
2007-12-04,0.000168948134540465
2007-12-05,0.000159048827755881
2007-12-06,0.000158787079964332
2007-12-07,0.000163477268342563
2007-12-10,0.000150381083761163
2007-12-11,0.000141793402545569
2007-12-12,0.000182148409709462
2007-12-13,0.00016581650384335
2007-12-14,0.000151320915693858
2007-12-17,0.000153401045088509
2007-12-18,0.000164336111882657
2007-12-19,0.000150653039465978
2007-12-20,0.000137764304661454
2007-12-21,0.000127666144268937
2007-12-24,0.000139089334601727
2007-12-26,0.000135548505284942
2007-12-27,0.000124548837303635
2007-12-28,0.000130910124577018
2007-12-31,0.000120301196661497
2008-01-02,0.000114753967388916
2008-01-03,0.000125656928800481
2008-01-04,0.000116139424599
2008-01-07,0.000156637191803397
2008-01-08,0.000143114120544461
2008-01-09,0.000157721624516159
2008-01-10,0.000151850390813928
2008-01-11,0.000140798028999338
2008-01-14,0.00014125939246621
2008-01-15,0.000136067971942587
2008-01-16,0.000160251934380299
2008-01-17,0.000154738589244768
2008-01-18,0.000198244228579057
2008-01-22,0.000190176538159054
2008-01-23,0.000184600012750263
2008-01-24,0.000192940635648871
2008-01-25,0.000188626626029219
2008-01-28,0.000187833338047367
2008-01-29,0.00018654061572707
2008-01-30,0.000177237632486464
2008-01-31,0.00016549315918588
2008-02-01,0.000168088429585518
2008-02-04,0.000168441670654352
2008-02-05,0.000161332662335387
2008-02-06,0.00021981307908449
2008-02-07,0.000212372582596974
2008-02-08,0.000198823175823305
2008-02-11,0.000211092995478808
2008-02-12,0.000200568888418569
2008-02-13,0.000192866718906331
2008-02-14,0.000193390589636775
2008-02-15,0.000189981745621086
2008-02-19,0.000179455261684286
2008-02-20,0.000169549436623923
